Question,Answer,Link,Hint1,Hint2,Hint3,Hint4,Hint5,Rank1,Rank2,Rank3,Rank4,Rank5
Which of the Confederate states rejoined the Union first when the Civil War concluded?,Tennessee,https://en.wikipedia.org/wiki/Tennessee,"Its largest cities include Nashville, which is the state capital, and Memphis.","Located in the Southeastern region of the United States, this state is known for its diverse terrain, including the Great Smoky Mountains.","This state is famous for its contributions to popular music, such as country and blues.","This state is bordered by eight other states, including Kentucky, Virginia, and North Carolina.","The state's nickname, ""The Volunteer State,"" originates from its history of military service.",1,2,3,4,5
Name the footballer who had a short stint at D.C. United in Major League Soccer (MLS) before returning to England.,Wayne Rooney,https://en.wikipedia.org/wiki/Wayne_Rooney,Who is the English professional football manager and former player that is the manager of EFL Championship club Birmingham City?,Who is the footballer that is the record goalscorer for Manchester United?,Who is the footballer that is the record goalscorer for the England national team from 2015 to 2023?,Who is the footballer that has made more appearances for England than any other outfield player?,"Who is the footballer that is considered one of the best players of his generation that spent most of his playing career as a forward, but was also used in various midfield roles?",1,2,3,4,5
Where is the headquarters for UNESCO?,Paris,https://en.wikipedia.org/wiki/Paris,Which city is the fifth-most populated city in the European Union and the 30th most densely populated city in the world in 2022?,Which city is known as the City of Light?,Which city is Eiffel Tower located?,Which city is the ninth-highest cost of living in the world?,This city speaks french,1,2,3,4,5
"What U.S. leader played a key role in ending the Cold War, engaging in negotiations with Soviet leader Mikhail Gorbachev?",Ronald Reagan,https://en.wikipedia.org/wiki/Ronald_Reagan,This leader was the 40th president of the United States.,This person is well-known for implementing economic deregulation and for slashing taxes and government spending during a period of economic stagflation.,This person was almost killed by John Hinckley Jr.,This person appointed Sandra Day O'Connor to the Supreme Court in 1981.,This person made William Rehnquist Chief Justice of the Supreme Court.,1,2,4,5,3
"Who is the athlete who, in 2015, founded a Foundation named after himself, focused on early childhood education and development in Serbia?",Novak Djokovic,https://en.wikipedia.org/wiki/Novak_Djokovic,He is a Serbian professional tennis player who is currently ranked world No. 1 in singles by the Association of Tennis Professionals (ATP).,He is the only man in tennis history to be the reigning champion of all four majors at once across three different surfaces.,"In 2008, at age 20, he disrupted Roger Federer and Rafael Nadal's streak of 11 consecutive majors by winning his first major title at the Australian Open.","This athlete suffered from an elbow injury that weakened his results until the 2018 Wimbledon Championships, where he won the title while ranked No. 21 in the world.","Representing Serbia, this athlete led the national tennis team to its first Davis Cup title in 2010 and to the inaugural ATP Cup title in 2020.",1,4,2,5,3
Who received the Kennedy Center Honors in 2010 and the Gershwin Prize for his contributions to popular music?,Paul McCartney,https://en.wikipedia.org/wiki/Paul_McCartney,He gained worldwide fame with the Beatles.,He is one of the most successful composers and performers of all time.,"In 1957, he joined the group the Quarrymen.",He became a solo artist in 1970.,"On March 11, 1997, he was knighted by Queen Elizabeth II for his “services to music.”",1,2,3,5,4
Identify the artist who declared his presidential candidacy for the 2020 United States election.,Kanye West,https://en.wikipedia.org/wiki/Kanye_West,This artist is one of the world's best-selling music artists with 160 million records sold.,This artist is the has won 24 Grammy Awards which is the joint tenth-most of all time.,This artist is the most awarded for any hip hop artist jointly with Jay-Z.,Rolling Stone magazine named him one of the 100 Greatest Songwriters of All Time in 2020.,This artist has a high-profile marriage to Kim Kardashian.,1,2,3,4,5
What actor and singer achieved success in the music scene with hits like 'Looking for Freedom' and 'Crazy for You'?,David Hasselhoff,https://en.wikipedia.org/wiki/David_Hasselhoff,The actor and singer has set a Guinness World Record as the most watched man on TV.,"The actor and singer first gained recognition in The Young and the Restless (1975–1982), playing the role of Dr. Snapper Foster.","This actor and singer produced Baywatch from the 1990s until 2001, when the series ended with Baywatch Hawaii.","This actor appeared in films, including Dodgeball (2004), The SpongeBob SquarePants Movie (2004), Click (2006), Hop (2011), and Piranha 3DD (2012).","Before Samuel L. Jackson, this actor was the first to portray the Marvel Comics character Nick Fury in the telefilm Nick Fury: Agent of S.H.I.E.L.D. (1998).",4,2,5,1,3
"Which planet, named after the king of the Roman gods, has a day length of less than 10 hours?",Jupiter,https://en.wikipedia.org/wiki/Jupiter,Which planet is the largest in the solar system?,Which planet is the 5th planet from the sun?,This planet is the third brightest natural object in the Earth's night sky after the Moon and Venus,This planet orbits the Sun at a distance of 5.20 AU (778.5 Gm) with an orbital period of 11.86 years.,Which planet has a 'Great red spot' on it?,1,2,3,4,5
Identify the company that introduced characters like Wonder Woman and The Flash to the world of comic books.,DC Comics,https://en.wikipedia.org/wiki/DC_Comics,"Originally located in Manhattan at 432 Fourth Avenue, the company's offices have been located at 480 and later at 575 Lexington Avenue, 909 Third Avenue, 75 Rockefeller Plaza, 666 Fifth Avenue, and 1325 Avenue of the Americas.","This company and its longtime major competitor, Marvel Comics (acquired in 2009 by The Walt Disney Company, Warner Bros. Discovery's main competitor), together shared approximately 70% of the American comic book market in 2017.","While superhero comics are what the company is known for throughout modern times, the genres in the first anthology titles consisted of funnies, Western comics and adventure-related stories.","In March 1989, Warner Communications merged with Time Inc., making this company a subsidiary of Time Warner.","On February 21, 2020, the co-publisher of the company, Dan DiDio stepped down after 10 years at that position.",5,1,3,2,4
Name the actor who portrayed the womanizing and charismatic Barney Stinson in the sitcom 'How I Met Your Mother.',Neil Patrick Harris,https://en.wikipedia.org/wiki/Neil_Patrick_Harris,"The actor is known for playing the title character on the ABC series Doogie Howser, M.D.","The actor was in films such as Starship Troopers,The Smurfs, The Smurfs 2, and Gone Girl.",The actor won an Emmy for his guest appearance on Glee.,"His character in ""How I Met Your Mother"" was abandoned by his father at a young age.",The actor is married with actor and chef David Burtka.,1,2,3,4,5
Which is the highest peak of southern india?,Anamudi,https://en.wikipedia.org//w/index.php?title=Anamudi,"The place is known as the ""Everest of South India.""",The Eravikulam National Park surrounds the place.,The place is a mountain located in Ernakulam district and Idukki district of the Indian state of Kerala.,The first recorded ascent of the place was by General Douglas Hamilton.,"Asian elephants, gaur, Bengal tigers, and the Nilgiri marten are some of the species of animals found in the place.",1,2,3,4,5
Identify the character who becomes a hermit on the swampy planet of Dagobah following the fall of the Jedi Order.,Yoda,https://en.wikipedia.org/wiki/Yoda,This is a fictional character is green and in the Star Wars franchise he first appeared in the Empire Strikes Back.,This fictional character trains Luke Skywalker in the ways of the force.,This fictional character mentored Obi Wan Kenobi.,This fictional character for Star Wars was created with using  Kermit the frog particularly in mind as a basis of the character.,This fictional character was created by George Lucas specifically to have a character to train Luke Skywalker.,1,2,3,4,5
What is the widest highway in north america?,Ontario Highway 401,https://en.wikipedia.org//w/index.php?title=Ontario_Highway_401,"This highway is also known by its official name, the Macdonald-Cartier Freeway.",This highway stretches 828 kilometers (514 mi) from Windsor in the west to the Ontario-Quebec border in the east.,The part of this highway that passes through Toronto is North America's busiest highway.,"Together with Quebec Autoroute 20, this highway forms the road transportation backbone of the Quebec City-Windsor Corridor, along which over half of Canada's population resides.",This highway features North America's busiest multi-structure bridge at Hogg's Hollow in Toronto.,1,4,3,2,5
Name the character who works at the Quahog Brewery and is often involved in outlandish schemes and misadventures with his eccentric group of friends.,Peter Griffin,https://en.wikipedia.org/wiki/Peter_Griffin,This character is the father on the tv show Family Guy.,"This character is voiced by the series' creator, Seth MacFarlane.",This character was a redesign of the protagonist Larry from MacFarlane's previous animated short films.,"This fictional character is a middle-class Irish American in his mid‑forties, who is an obese blue-collar worker with a Rhode Island accent.","This character has three children: Meg, Chris, and Stewie.",1,2,3,4,5
"Name the franchise that introduced the concept of the Jedi and Sith, practitioners of the light and dark sides of the Force.",Star Wars,https://en.wikipedia.org/wiki/Star_Wars,The franchise was created by George Lucas,"The quote ""A long time ago in a galaxy far, far away"" is associated with the franchise.",The franchise saw its films released in three trilogies.,The franchise follows characters of a galaxy across multiple fictional eras.,The franchise is a space opera who was inspired by the Flash Gordon serial.,1,2,3,4,5
"Name the band whose classic lineup had artirsts like Brian May, Roger Taylor, and John Deacon.",Queen,https://en.wikipedia.org/wiki/Queen_(band),"A British rock band formed in London in 1970 by Freddie Mercury , Brian May, and Roger Taylor, later joined by John Deacon.",A british band whose works are the miracle and innuenda.,a music band received the Brit Award for Outstanding Contribution to British Music in 1990.,"In January 1974, a music band played the Sunbury Pop Festival in Australia",a music band release the album which was named as A night at the opera.,1,2,3,4,5
"What entrepreneur and inventor proposed the concept of the Hyperloop, a high-speed transportation system using pressurized capsules in low-pressure tubes?",Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk,This man is the founder and CEO of SpaceX.,"This man is the architect and former chairman of Tesla, Inc.",This entrepreneur and CEO went to the University of Pennsylvania where he got his BA and BS.,This man co-founded Neuralink—a neurotechnology company developing brain–computer interfaces—and the Boring Company.,This man was born in 1981 in South Africa and holds citizenship to three different countries.,1,2,3,4,5
"Who, alongside Shaquille O'Neal, formed a dynamic duo that led the Los Angeles Lakers to three consecutive NBA championships in the early 2000s?",Kobe Bryant,https://en.wikipedia.org/wiki/Kobe_Bryant,The player had the nickname Black Mamba.,"The player participated in a series of commercials that featured the likes of Serena Williams, Jerry Rice, and Kanye West.",The player is five-time NBA champion.,The player became associated with the jersey number 24.,The player was originally selected by the Charlotte Hornets before being traded to the Lakers.,1,2,3,4,5
"Name the actor who gained international fame for his role in the 'Baywatch' series, often referred to as 'The Hoff.'",David Hasselhoff,https://en.wikipedia.org/wiki/David_Hasselhoff,The actor has set a Guinness World Record as the most watched man on TV.,"The actor first gained recognition in The Young and the Restless (1975–1982), playing the role of Dr. Snapper Foster.",This actor had a leading role as Michael Knight on Knight Rider (1982–1986).,"This actor has released a total of 15 studio albums, which found success mostly in German-speaking parts of Europe, where he has garnered multiple gold and platinum awards, with the single ""Looking for Freedom"" achieving number one in Germany and Switzerland.",This actor has also worked as a talent show judge on television shows such as America's Got Talent (2006–2009) and Britain's Got Talent (2011).,5,2,1,4,3
In what European nation did the historic Battle of Grunwald take place in 1410?,Poland,https://en.wikipedia.org/wiki/Poland,It has a population of over 38 million and is the fifth most populous member state of the European Union,Warsaw is the nation's capital and largest metropolis,"has a temperate transitional climate, and its territory traverses the Central European Plain, extending from the Baltic Sea in the north to the Sudetes and Carpathian Mountains in the south","The country is bordered by Lithuania and Russia to the northeast,[b] Belarus and Ukraine to the east, Slovakia and the Czech Republic to the south, and Germany to the west",It also shares maritime boundaries with Denmark and Sweden,1,2,3,4,5
"What urban oasis is known for its iconic attractions, including Bethesda Terrace, Bow Bridge, and a Zoo?",Central Park,https://en.wikipedia.org/wiki/Central_Park,This is an urban park between the upper west side and Upper East Side neighborhoods of Manhattan.,This is the 5th largest park in its city containing 843 acres.,The creation of this park was first proposed in the 1840s.,Landscape architects of this park were Frederick Law Olmsted and Calvert Vaux.,A main attraction of this park includes the Jacqueline Kennedy Onassis Reservoir.,1,2,3,4,5
Identify the pop icon who served as a coach on the television show 'The Voice' during multiple seasons.,Christina Aguilera,https://en.wikipedia.org/wiki/Christina_Aguilera,"The pop icon's debut album was titled ""Christina Aguilera"" and released in 1999 when she was just 18 years old.","The pop icon rose to fame with her hit single ""Genie in a Bottle,"" which became a worldwide success and peaked at number one on the US Billboard Hot 100 chart.","The pop icon has been married twice, first to Jordan Bratman from 2005 to 2011, and then to Matt Rutler since 2015.","The pop icon has won five Grammy Awards, including Best New Artist in 2000.","The pop icon has two children, Max Liron Bratman and Summer Rain Rutler.",1,2,3,4,5
Identify the nation that hosted the FIFA World Cup in 2014.,Brazil,https://en.wikipedia.org/wiki/Brazil,"This nation has won the FIFA World Cup five times, more than any other nation.",This nation has the 2nd highest number of airports in the world.,"Except Ecuador and Chile, this nation shares a border with every South American country.",The president of this nation was Juscelino Kubitschek in 1956.,It is the largest country in both South America and the Latin American region.,1,2,5,3,4
"Who is the winner of the Career Golden Slam in women's singles tennis, having won all four Grand Slam titles and an Olympic gold medal?",Serena Williams,https://en.wikipedia.org/wiki/Serena_Williams,The player has a sister who is also a professional tennis player.,The player is the only female tennis player to accomplish a career Golden Slam in both singles and doubles.,"The player appeared in the music video of ""I Want You"" by the American rapper Common.",The player is a minority owner of the Miami Dolphins.,The player wrote a book with her sister and with author Hilary Beard.,1,2,3,4,5
"Name the park that hosts numerous cultural events and performances, including the famous Shakespeare in the Park productions at the Delacorte Theater.",Central Park,https://en.wikipedia.org/wiki/Central_Park,What park is the most visited urban park in the United States?,What is the fifth-largest park in New York containing 843 acres?,What is the name of the urban park between the Upper West Side and Upper East Side neighborhoods of Manhattan in New York City?,What is the name of the park in Manhattan that was first proposed in the 1840s?,What is the name of the park in New York that gets an estimated 42 million visitors annually?,1,2,3,4,5
"Identify the studio behind the critically acclaimed 'The Last of Us' and its sequel, 'The Last of Us Part II.'",Naughty Dog,https://en.wikipedia.org/wiki/Naughty_Dog,"Is an American first-party video game developer based in Santa Monica, California.",Founded by Andy Gavin and Jason Rubin in 1984,The latter game prompted Universal Interactive Studios to sign the duo to a three-title contract and fund the expansion of the company.,"After designer and producer Mark Cerny convinced it to create a character-based platform game that would use the 3D capabilities of the new systems,","The company's first PlayStation 3 game, Uncharted: Drake's Fortune, was released in 2007, followed by several sequels and spin-off titles.",2,3,4,5,1
"Which country is known for its unique blend of cultures, reflecting influences from the Ottoman Empire and ancient Anatolian civilizations?",Turkey,https://en.wikipedia.org/wiki/Turkey,The capital of this country is Ankara.,The largest city in this country is Istanbul.,Ajda Pekkan is from this country.,"""Blue Mosque"" is located in this country.",This country has 21 UNESCO World Heritage Sites.,1,2,3,4,5
Name the actor who earned critical acclaim and several Emmy Awards for his compelling performance as a high school chemistry teacher,Bryan Cranston,https://en.wikipedia.org/wiki/Brya.n_Cranston,"He played Walter White in ""Breaking bad"" series.","He played Hal in ""Malcolm in the middle"" sitcom.",His daughter is Taylor Dearden.,His first wife is Mickey Middleton who is a writer.,"He played the role of President Lyndon B. Johnson in the Broadway play ""All the Way"" in the year 2014.",1,2,4,5,3
"Name the DC superhero who witnessed the murder of his parents as a child, inspiring him to dedicate his life to fighting crime and seeking justice.",Batman,https://en.wikipedia.org/wiki/Batman,It was created by Bob Kane and Bill Finger.,It debuted in the 27th issue of Detective Comics.,This superhero is an alias of Bruce Wayne.,This super hero is based on the persona of a flying mammal.,His sidekick name is Robin.,4,5,1,3,2
Which  American football team is commonly referred to as the '12s'?,Seattle Seahawks,https://en.wikipedia.org//w/index.php?title=Seattle_Seahawks,They rejoined in 2002 as part of a conference realignment.,"They have twice set the Guinness World Record for the loudest crowd noise at a sporting event,",They have competed in 47 NFL seasons,They have won 11 division titles and three conference championships,The only team to have played in both the AFC and NFC Championship Games,5,3,1,2,4
Who occupied the Gaza Strip after 1967?,Israel,https://en.wikipedia.org/wiki/Israel,The sole official language of this country is Hebrew.,This is the only country in the world where life revolves around the Hebrew calendar,The New shekel is the official currency of this country.,This is first in the world in expenditure on research and development as a percentage of GDP.,The Jewish culture is originated from this country.,1,4,2,5,3
What historical figure was a key player in the First Triumvirate alongside Pompey and Crassus?,Julius Caesar,https://en.wikipedia.org/wiki/Julius_Caesar,This person was a Roman general and statesman.,"This person led the Roman armies in the Gallic Wars before defeating his political rival Pompey in a civil war, and subsequently became dictator from 49 BC until his assassination in 44 BC.",This person played a critical role in the events that led to the demise of the Roman Republic and the rise of the Roman Empire.,"This person began a programme of social and governmental reform, including the creation of the Julian calendar.",This person was an accomplished author and historian as well as a statesman; much of his life is known from his own accounts of his military campaigns.,4,1,2,3,5
Name the island nation that gained independence in 1965 and has since become a global financial hub and major port.,Singapore,https://en.wikipedia.org/wiki/Singapore,It is an island-country and city-state.,This country has the second highest population density.,"This country has English, Malay, Mandarin and Tamil as its official languages.","This country has a nickname ""little red dot"".",This country has 63 islands.,1,2,3,4,5
"Identify the city that has twice hosted the Winter Olympics, in 1964 and 1976.",Innsbruck,https://en.wikipedia.org/wiki/Innsbruck,It is the capital of Tyrol and the fifth-largest city in Austria.,"It had a population of 132,493 in 2018.",It also hosted the first Winter Youth Olympics in 2012.,It is an internationally renowned winter sports centre.,It hosted the 1964 and 1976 Winter Olympics as well as the 1984 and 1988 Winter Paralympics.,2,4,3,1,4
"What company is associated with the production of the 'Land Cruiser,' a rugged and off-road-capable vehicle?",Toyota,https://en.wikipedia.org/wiki/Toyota,This is is a Japanese multinational automotive company.,"This is the largest automobile manufacturer in the world, producing about 10 million vehicles per year.",It was praised as a leader in the development and sales of more fuel-efficient hybrid electric vehicles.,"It has often referred to its non-plug-in hybrid vehicles as ""self-charging hybrid"" vehicles","This company was  founded by Kiichiro Toyoda and incorporated on August 28, 1937.",1,3,5,4,2
"In nuclear emergencies, what tool is crucial for assessing the level of radiation exposure?",Geiger counter,https://en.wikipedia.org/wiki/Geiger_counter,"This tool is used in applications such as radiation dosimetry, radiological protection, experimental physics and the nuclear industry.","This instrument detects ionizing radiation such as alpha and beta particles, and gamma rays.","This instrument has a tube that consists of a sensing element that detects radiation and the processing electronics, and then displays the result.",This instruments detection principle was realized in 1908 at the University of Manchester.,In 1928 the development of this instruments tube was essential in creating the device to make it a practical instrument.,1,2,3,4,5
Which historical empire was centered in Constantinople and ruled over a vast territory for centuries?,Ottoman Empire,https://en.wikipedia.org/wiki/Ottoman_Empire,The founder of this empire is Osman I.,The empire was at it's peak under the rule of Suleiman the Magnificent.,Ahmet Nedîm Efendi is one of the empire's poets.,Süleymaniye Mosque is constructed in this empire's period.,This empire's flag is red flag with star and crescent in white.,1,2,5,3,4
"What Middle Eastern country is known for its largest city, Jeddah?",Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia,It has a lot of desert,It contains the holy city of Mecca,it is across the sea from Egypt,It has a lot of oil,it is ruled by a king,5,1,2,3,4
"Identify the Wookiee who has a life debt to Han Solo, a debt that he repays through unwavering loyalty.",Chewbacca,https://en.wikipedia.org/wiki/Chewbacca,"He is a Wookiee, a tall, hirsute, bipedal, intelligent species originating from the fictional planet of Kashyyyk.",It is a fictional character in the Star Wars franchise.,"He is the loyal friend and first mate of Han Solo, and serves as co-pilot on Solo's spaceship","In the original trilogy , the character is portrayed by Peter Mayhew.","The character has also appeared in numerous works within the Expanded Universe, consisting of television series, books, comics, and video games.",2,1,3,4,5
"Name the band known for hits like 'Paint It Black,' 'Angie,' and 'Sympathy for the Devil.'",The Rolling Stones,https://en.wikipedia.org/wiki/The_Rolling_Stones,The band's logo features a distinctive pair of lips with a lapping tongue and is widely recognized in popular culture.,"This band, formed in London in 1962, is one of the most enduring and popular rock bands of all time.","The band's frontman, who is known for his distinctive raspy singing style, often goes by his first name and is considered one of the greatest rock vocalists of all time.","They released their album ""Sticky Fingers"" in 1971, featuring the famous song ""Brown Sugar"" and a cover with a provocative zipper.","In the late 1960s, they experimented with psychedelic rock but later returned to their rhythm and blues-based sound.",1,2,3,4,5
"Name the character whose distinctive vocalizations were created by a mix of bear growls, walrus roars, and other animal sounds.",Chewbacca,https://en.wikipedia.org/wiki/Chewbacca,"He is a Wookiee, a tall, hirsute, bipedal, intelligent species originating from the fictional planet of Kashyyyk","The loyal friend and first mate of Han Solo, and serves as co-pilot on Solo's spaceship, the Millennium Falcon; together they help the Rebel Alliance defeat the Galactic Empire and restore freedom to the galaxy.","The character has also appeared in numerous works within the Expanded Universe, consisting of television series, books, comics, and video games.","A 200-year-old Wookiee, becomes a young Han Solo's companion after they both escape Imperial captivity on Mimban.","It was named one of the ""greatest sidekicks"" in film history by Entertainment Weekly",1,3,4,2,5
"What show introduced the iconic catchphrase 'D'oh!' through the main character, symbolizing frustration or realization of a mistake?",The Simpsons,https://en.wikipedia.org/wiki/The_Simpsons,The show was created for the Fox Broadcasting Company.,The creator of the show was Matt Groening.,"The show began airing in December 17, 1989 and continues to see new episodes today.",The show is set in the fictional town of Springfield.,"The show is the longest-running American animated series, longest-running American sitcom, and is also, the longest-running American scripted primetime television series.",5,2,4,1,3
What Roman leader was appointed as 'dictator perpetuo' and 'dictator in perpetuity' by the Senate?,Julius Caesar,https://en.wikipedia.org/wiki/Julius_Caesar,This Roman leader played a critical role in the events that led to the demise of the Roman Republic and the rise of the Roman Empire.,"The informal political alliance,  First Triumvirate was formed by Crassus, Pompey and?",He is known for his notable work 'Bellum Gallicum',"He began a programme of social and governmental reform, including the creation of the Julian calendar.",This roman leader gave citizenship to many residents of far regions of the Roman Republic.,1,2,3,4,5
"Identify the Himalayan giant that is a part of the Great Himalaya Range, extending across Nepal, Tibet, and the autonomous region of China.",Mount Everest,https://en.wikipedia.org/wiki/Mount_Everest,"It attracts many climbers, including highly experienced mountaineers.","There are two main climbing routes, one approaching the summit from the southeast in Nepal (known as the ""standard route"") and the other from the north in Tibet.",Over 200 bodies remain on the mountain and have not been removed due to the dangerous conditions.,The China–Nepal border runs across its summit point.,It is located in the Mahalangur Himal sub-range of the Himalayas.,4,3,5,1,2
Who was the first female to achieve the International Artist Award at the American Music Awards?,Beyoncé,https://en.wikipedia.org/wiki/Beyoncé,She rose to fame in the late 1990s as a member of the R&B girl group Destiny's Child.,"On February 1, 2004, she performed the American national anthem at Super Bowl XXXVIII.",She is married to rapper and producer Jay-Z.,"This singer is also known as ""Queen Bey"".","Having sold over 200 million records worldwide, this singer is one of the best-selling music artists of all time.",1,2,3,4,5
Name the MLB team that has had prominent players like Justin Verlander and Miguel Cabrera in recent years.,Detroit Tigers,https://en.wikipedia.org/wiki/Detroit_Tigers,This team compete in Major League Baseball as a member of the American League Central division.,"Since their establishment as a major league franchise in 1901, this team have won four World Series championships (1935, 1945, 1968, and 1984), 11 American League  pennants (1907, 1908, 1909, 1934, 1935, 1940, 1945, 1968, 1984, 2006, 2012), and four American League  Central division championships (2011, 2012, 2013, and 2014).","From 1901 to 2023, this team's overall win–loss record is 9590–9491 (.503).","This team played their first game as a major league team at home against the Milwaukee Brewers on April 25, 1901, with an estimated 10,000 fans at Bennett Park.","In 1905, this team acquired 18-year-old Ty Cobb, a fearless player who came to be regarded as one of the greatest players of all time.",2,1,5,3,4
What was the supposed offering to the gods that the Greeks left outside the gates of Troy?,Trojan Horse,https://en.wikipedia.org/wiki/Trojan_Horse,The Greeks used this object as a clever disguise to enter the city of Troy.,It was a large wooden structure that the Greeks left outside the gates of Troy.,"According to legend, the Greeks claimed it was an offering to the gods.","Many scholars believe that there is a historical core to the tale, though this may simply mean that the Homeric stories are a fusion of various tales of sieges and expeditions by Mycenaean Greeks during the Bronze Age.",This famous stratagem involved hiding soldiers inside the hollow interior of the object.,1,2,3,4,5
"Identify the nation that has coastlines along the Mediterranean, Aegean, and Black Seas.",Turkey,https://en.wikipedia.org/wiki/Turkey,This nation is located at the crossroads of Europe and Asia.,It is known for its rich history and cultural heritage.,"The country has a diverse landscape, ranging from mountains to beaches.","Istanbul, a major city in this country, is famous for its iconic landmarks.",The country cuisine is known for its delicious kebabs and baklava.,1,2,3,4,5
"What performer gained widespread recognition with hits like 'Like a Virgin,' and 'Material Girl,'?",Madonna,https://en.wikipedia.org/wiki/Madonna,"This female artist is commonly referred to as the ""Queen of Pop"".","This female artist won a Golden Globe Award for Best Actress in ""Evita"".","This female artist acted in films such as ""Desperately Seeking Susan"", ""Dick Tracy"" and ""A League of Their Own"".","This female artist founded the company Maverick in 1992, which included Maverick Records, one of the most successful artist-run labels in history.",This female artist is the best-selling female recording artist of all time.,1,2,3,4,5
Dior is from which city?,Paris,https://en.wikipedia.org/wiki/Paris,"This capital is the most populous city of France with an estimated population of 2,102,650.",This city is the 5th most populated city in the European Union.,This city is the 30th most densely populated city in the entire world in 2022.,"The coat of arms of this city is divided by two colors, red is identified with Saint Denis and the color blue with Saint Martin.","This city's motto is ""Fluctuat nec mergitur"".",1,2,3,4,5
Which Highway serves the East Coast of the United States and runs runs 2.370 miles (3.810 km)?,U.S. Route 1,https://en.wikipedia.org//w/index.php?title=U.S._Route_1,It is a major north–south United States Numbered Highway that serves the East Coast of the United States.,"It runs 2,370 miles (3,810 km) from Key West, Florida, north to Fort Kent, Maine, at the Canadian border, making it the longest north–south road in the United States.","It is generally the easternmost of the main north–south U.S. Routes, parts of several others occupy corridors closer to the ocean.",It is generally serves mostly rural areas as it falls west of I-95 while the coastal areas are served by routes east of it.,It functions as a local two-lane road with occasional boulevard stretches,4,5,1,2,3
Name the city known for its iconic landmarks such as the Colosseum and the Pantheon.,Rome,https://en.wikipedia.org/wiki/Rome,It is the capital city of Italy,"This city contains a vast collection of art, sculpture, fountains, mosaics, frescos, and paintings, from all different periods.",The third most populous city in the European Union by population within city limits,"A population of 4,355,725 residents","It is generally considered to be the ""cradle of Western civilization and Christian culture""",1,5,3,4,2
"Identify the 1989 handheld console that contributed to the success of franchises like 'Pokémon,' 'The Legend of Zelda,' and 'Metroid'.",Game Boy,https://en.wikipedia.org/wiki/Game_Boy,"It was first released in Japan on April 21, 1989",Also known as	 KOR: Mini Comboy,"The color scheme is made from two tones of grey with accents of black, blue, and dark magenta.",was designed by Nintendo's chief engineer Gunpei Yokoi and its Nintendo R&D1 team,is an 8-bit fourth generation handheld game console developed and manufactured by Nintendo.,2,3,4,5,1
"Identify the device used to monitor and record earthquakes, providing crucial data for seismologists and earthquake researchers.",Seismometer,https://en.wikipedia.org/wiki/Seismometer,"It is an instrument that responds to ground noises and shaking such as caused by quakes, volcanic eruptions, and explosions.",They are usually combined with a timing device.,"It is sensitive to up-down motions of the Earth, is like a weight hanging from a spring, both suspended from a frame that moves along with any motion detected.","It is used to locate and characterize earthquakes, and to study the Earth's internal structure.",It was placed on the Moon starting in 1969 as part of the Apollo Lunar Surface Experiments Package,2,1,5,4,3
"Which company is the largest private employer in the United States, with a vast workforce employed in its stores and distribution centers?",Walmart,https://en.wikipedia.org/wiki/Walmart,"American multinational retail corporation that operates a chain of hypermarkets (also called supercenters), discount department stores, and grocery stores in the United States, headquartered in Bentonville, Arkansas.",It also owns and operates Sam's Club retail warehouses.,"It has 10,586 stores and clubs in 24 countries, operating under 46 different names.","The world's largest company by revenue, with about US$570 billion in annual revenue",The largest private employer in the world with 2.2 million employees,4,2,1,5,3
"Name the band that released the power ballad 'Sweet Child o' Mine,' topping charts worldwide.",Guns N' Roses,https://en.wikipedia.org/wiki/Guns_N%27_Roses,"This is an American hard rock band from Los Angeles, formed in March 1985.","This band accompanied the Use Your Illusion albums with many videos, including ""Don't Cry"", ""November Rain"" and ""Estranged"".","There 3 members, still existing in the band from 1985 named Axl Rose, Duff McKagan and Slash.","This band is one of the world's best-selling bands of all time, having sold more than 100 million records worldwide","The band's debut album Appetite for Destruction was released July 21, 1987",1,3,2,5,4
What mathematician exclaimed 'Eureka!' upon making a significant discovery in a bath?,Archimedes,https://en.wikipedia.org/wiki/Archimedes,He was killed by a Roman soldier in Sicily.,He discovered center of gravity.,"""Measurement of circle"" is a work of this mathematician.","""Ostomachion"" is one of his treatises.",He invented the famous cattle problem which involves counting the number of cattle.,4,1,2,3,5
"Identify the movie that showcases the high-flying lifestyle of Jordan Belfort and his brokerage firm, Stratton Oakmont.",The Wolf of Wall Street,https://en.wikipedia.org/wiki/The_Wolf_of_Wall_Street_(2013_film),"It is a 2013 American epic biographical black comedy crime film co-produced and directed by Martin Scorsese and written by Terence Winter, based on Jordan Belfort's 2007 memoir of the same name.",This film was shot in New York in late 2012 and was shot mostly in 35mm film stock.,"The film premiered in New York City on December 17, 2013, and was released in the United States on December 25, 2013, by Paramount Pictures.","It was a major commercial success, grossing $406.9 million worldwide during its theatrical run, becoming Scorsese's highest-grossing film.",It set a Guinness World Record for the most instances of swearing in a film.,3,1,2,5,4
